2022-08-28/21:53:20		Error while creating table: [Errno 2] No such file or directory: 'Training_Logs/DataBaseConnectionLog.txt' 
2022-08-28/22:02:34		Tables created successfully!!
2022-08-28/22:04:40		Tables created successfully!!
2022-08-28/22:06:16		Tables created successfully!!
2022-08-28/22:07:23		Tables created successfully!!
2022-08-28/22:37:40		Tables created successfully!!
2022-08-28/22:39:01		Tables created successfully!!
2022-08-28/22:52:30		Tables created successfully!!
2022-08-28/23:08:56		Tables created successfully!!
2022-09-03/18:37:04		Tables created successfully!!
2022-09-03/18:47:29		Tables created successfully!!
2022-09-03/19:02:46		Tables created successfully!!
2022-09-03/19:17:27		Tables created successfully!!
2022-09-03/19:24:32		Tables created successfully!!
2022-09-03/19:53:58		Tables created successfully!!
2022-09-04/16:22:02		Tables created successfully!!
2022-09-04/16:30:08		Tables created successfully!!
2022-09-04/16:48:08		Tables created successfully!!
2022-09-04/22:51:22		Tables created successfully!!
2022-09-04/22:51:55		Tables created successfully!!
2022-09-09/19:39:02		Tables created successfully!!
2022-09-09/19:39:27		Tables created successfully!!
2022-09-09/19:43:09		Tables created successfully!!
2022-09-18/18:29:10		Tables created successfully!!
2022-09-28/15:44:09		Tables created successfully!!
2022-09-28/20:14:06		Tables created successfully!!
